attack_profile,feature_name,robust_median_shift_iqr
s2_context_coupled_lowrate,delta_log_iat_p95_vs_previous_window,3.5699988504345255
s2_second_attempt,log_iat_median,-1.3580154203697967
s2_second_attempt,log_iat_p95,-2.5853063185978526
s2_second_attempt,log_iat_mad,-0.047181782112972546
s2_second_attempt,log_iat_lag1_autocorrelation,-0.2443970085515
s2_second_attempt,domain_host_rate_ratio,1.411830192316196
s2_second_attempt,log_iat_mean,-0.7823242566372989
s2_second_attempt,log_iat_std,-0.7374070662257413
s2_second_attempt,robust_log_iat_cv,0.1447187866317594
s2_second_attempt,repeated_gap_ratio_5pct,1.0
s2_second_attempt,normalized_iat_entropy_8,0.7596604834529769
s2_second_attempt,median_abs_successive_log_iat_change,-0.15001108845378075
s2_second_attempt,delta_log_iat_median_vs_previous_window,0.008130384080854366
s2_second_attempt,delta_log_iat_p95_vs_previous_window,-0.1268660819972375
